party,party_display_name,display_name,political_position,ideology,wikipedia_url
Swedish Social Democratic Party,Swedish Social Democratic Party,,Centre-left,Social democracy,https://en.wikipedia.org/wiki/Swedish_Social_Democratic_Party
Moderate Party,Moderate Party,,Centre-right,Liberal conservatism Pro-Europeanism,https://en.wikipedia.org/wiki/Moderate_Party
Sweden Democrats,Sweden Democrats,,Right-wing to far-right,National conservatism Right-wing populism Euroscepticism,https://en.wikipedia.org/wiki/Sweden_Democrats
Green Party,Green Party,,Centre-left,Green politics Ecofeminism Environmentalism,https://en.wikipedia.org/wiki/Green_Party_(Sweden)
Centre Party,Centre Party,,Centre to centre-right,Liberalism ( Swedish ) Agrarianism ( Nordic ),https://en.wikipedia.org/wiki/Centre_Party_(Sweden)
Left Party,Left Party,,Left-wing,Socialism Eco-socialism Euroscepticism,https://en.wikipedia.org/wiki/Left_Party_(Sweden)
Liberals,Liberals,,Centre-right,Conservative liberalism,https://en.wikipedia.org/wiki/Liberals_(Sweden)
Christian Democrats,Christian Democrats,,Centre-right to right-wing,Christian democracy Conservatism ( Swedish ) Social conservatism Agrarianism ( Nordic ),https://en.wikipedia.org/wiki/Christian_Democrats_(Sweden)
Feminist Initiative,Feminist Initiative,,Left-wing,Feminism Equity feminism,https://en.wikipedia.org/wiki/Feminist_Initiative_(Sweden)
