party,party_display_name,display_name,political_position,ideology,wikipedia_url
Denis Bećirović,Denis Bećirović,,,,
Bakir Izetbegović,Bakir Izetbegović,,,,
Semir Efendić,Semir Efendić,,,,
Slaven Kovačević,Slaven Kovačević,,Independent,,https://en.wikipedia.org/wiki/Slaven_Kovačević
Fahrudin Radončić,Fahrudin Radončić,,,,
Darijana Filipović,Darijana Filipović,,,,
Zdenko Lučić,Zdenko Lučić,,,,
